crimetype,abs_diff_g,abs_diff_c,diff_abs_diff,ustd_w_test_p_value,ustd_t_test_p_value,abs_diff_g_per_km2,abs_diff_c_per_km2,std_abs_diff_g_per_km2,std_abs_diff_c_per_km2,diff_std_diff_per_km2,std_w_test_p_value,std_t_test_p_value
agg_ass,0.26341248900615655,-0.11433512682551883,0.3777476158316754,1.4121196735990312e-15,6.25845817724634e-11,3.7265244175528314,-1.6175111647395632,6.333908790060994,0.13377440198917304,6.20013438807182,1.8205982395771645e-17,7.342351697129438e-13
burg,-0.44312518323072414,-0.594286446323341,0.1511612630926169,0.08770332465714178,0.007368589967772428,-6.268938961748585,-8.40743338176676,-4.298992694310459,-2.5193282830472485,-1.7796644112632105,0.007903137144056965,0.021935661918170687
disord,-0.04016417472881855,-0.2744683576735844,0.23430418294476585,1.2193859938218746e-26,3.311855025412274e-5,-0.5682068394042715,-3.8829329640946932,0.9250965206391436,-0.8080336347633931,1.7331301554025367,7.107332822812395e-14,0.02310195224106467
homi,0.018029903254177658,0.004419677171406611,0.013610226082771047,0.01889264014389773,0.2446720778013664,0.2550709534552022,0.06252564166220159,0.4170967266229399,0.0989118010241517,0.3181849255987882,0.9331959763003512,0.06368129601622054
pub_dr,0.03239519202579889,-6.405329233922616e-4,0.03303572494919115,3.059792293676645e-5,1.335086480294086e-4,0.45829821718373714,-0.009061687197420527,0.35472477990562634,-0.14232823638761707,0.4970530162932434,0.011318098070877766,5.7848698814149273e-005
robb,-0.5741717971269422,-0.2016397642838842,-0.372532032843058,2.1377107579388387e-20,5.920229862995056e-18,-8.1228693063742,-2.85261912974798,-6.046068067011529,-0.45767495085785087,-5.588393116153678,5.688474357878832e-20,5.687279551103542e-19
thefts,-0.0625916153620639,0.06386113246220855,-0.12645274782427246,0.05935522873426542,0.14222745724469196,-0.885490220531474,0.9034502135828261,-0.22282531786696763,2.003638618329869,-2.226463936196837,0.029611402455971502,0.07480016902210915
vio,-0.29272940486660803,-0.3115552139379964,0.018825809071388366,0.8823852702906307,0.7971834672851961,-4.141273935366168,-4.407604652825341,0.7049374496724049,-0.22498874784452616,0.9299261975169311,0.6529798684961516,0.3917305449199944
nonvio,-0.5134857812958077,-0.8055342044581091,0.2920484231623014,0.11316507147755368,0.015047322047363799,-7.264337804500594,-11.395977819476048,-3.2419967116326562,-1.46605153586839,-1.7759451757642661,0.011765758988111975,0.29157033023291146
all,-0.8062151861624157,-1.1170894183961055,0.3108742322336898,0.07368408245981642,0.03303494372692081,-11.405611739866762,-15.80358247230139,-2.5370592619602514,-1.6910402837129161,-0.8460189782473353,0.08862973048225034,0.6842212573774293
